another, [ 1 1 ]
cat, [ 1 1 ]
dog, [ 1 1 ]
house, [ 2 2 ]
l, [ 2 2 ]
line, [ 1 1 1 1 ]
moo, [ 1 1 ]
mouse, [ 2 2 ]
of, [ 1 1 1 1 ]
shakespear, [ 2 2 ]
some, [ 4 4 ]
text, [ 4 1 2 3 1 1 1 2 3 1 1 ]
another, [ 1 1 1 ]
cat, [ 1 1 1 ]
dog, [ 1 1 1 ]
house, [ 2 2 2 ]
l, [ 2 2 2 ]
line, [ 1 1 1 1 1 1 ]
moo, [ 1 1 1 ]
mouse, [ 2 2 2 ]
of, [ 1 1 1 1 1 1 ]
shakespear, [ 2 2 2 ]
some, [ 4 4 4 ]
text, [ 4 1 2 3 1 1 1 2 3 1 1 1 2 3 1 1 ]
another, [ 1 1 1 1 ]
cat, [ 1 1 1 1 ]
dog, [ 1 1 1 1 ]
house, [ 2 2 2 2 ]
l, [ 2 2 2 2 ]
line, [ 1 1 1 1 1 1 1 1 ]
moo, [ 1 1 1 1 ]
mouse, [ 2 2 2 2 ]
of, [ 1 1 1 1 1 1 1 1 ]
shakespear, [ 2 2 2 2 ]
some, [ 4 4 4 4 ]
text, [ 4 1 2 3 1 1 1 2 3 1 1 1 2 3 1 1 1 2 3 1 1 ]
